CDU_ID,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : Total\ Car or van availability - Unit : Cars or vans,Car or van availability : Sum of all cars or vans - Unit : Cars or vans,avg car per household
19873,594,735,735,1.237373737
19874,557,565,565,1.014362657
19875,590,357,357,0.605084746
19876,653,468,468,0.71669219
19877,633,466,466,0.736176935
19878,605,725,725,1.198347107
19879,768,510,510,0.6640625
19880,522,550,550,1.053639847
19881,548,505,505,0.921532847
19882,554,418,418,0.754512635
19883,696,543,543,0.780172414
19884,774,442,442,0.571059432
19885,518,484,484,0.934362934
19886,636,322,322,0.506289308
19887,715,295,295,0.412587413
19888,716,340,340,0.474860335
19889,802,349,349,0.435162095
19890,715,370,370,0.517482517
19891,915,381,381,0.416393443
19892,840,503,503,0.598809524
19893,728,425,425,0.583791209
19894,536,989,989,1.845149254
19895,728,840,840,1.153846154
19896,635,785,785,1.236220472
19897,646,880,880,1.362229102
19898,774,1164,1164,1.503875969
19899,750,1105,1105,1.473333333
19900,631,761,761,1.206022187
19901,659,943,943,1.430955994
19902,608,939,939,1.544407895
19903,486,861,861,1.771604938
19904,494,853,853,1.726720648
19905,517,967,967,1.87040619
19906,674,966,966,1.433234421
19907,550,916,916,1.665454545
19908,520,943,943,1.813461538
19909,671,564,564,0.840536513
19910,680,782,782,1.15
19911,660,740,740,1.121212121
19912,612,827,827,1.35130719
19913,757,1018,1018,1.344782034
19914,776,1330,1330,1.713917526
19915,622,1099,1099,1.766881029
19916,691,750,750,1.085383502
19917,740,767,767,1.036486486
19918,864,952,952,1.101851852
19919,784,765,765,0.975765306
19920,650,762,762,1.172307692
19921,630,794,794,1.26031746
19922,802,688,688,0.857855362
19923,690,713,713,1.033333333
19924,866,569,569,0.65704388
19925,800,719,719,0.89875
19926,666,791,791,1.187687688
19927,662,786,786,1.187311178
19928,646,1253,1253,1.939628483
19929,654,907,907,1.386850153
19930,642,838,838,1.30529595
19931,705,819,819,1.161702128
19932,757,1167,1167,1.541611625
19933,618,813,813,1.315533981
19934,648,861,861,1.328703704
19935,656,925,925,1.410060976
19936,504,894,894,1.773809524
19937,612,712,712,1.163398693
19938,534,802,802,1.501872659
19939,619,678,678,1.095315024
19940,659,818,818,1.241274659
19941,570,841,841,1.475438596
19942,635,971,971,1.529133858
19943,614,887,887,1.444625407
19944,637,954,954,1.497645212
19945,765,978,978,1.278431373
19946,439,859,859,1.956719818
19947,648,473,473,0.729938272
19948,666,611,611,0.917417417
19949,599,566,566,0.94490818
19950,572,611,611,1.068181818
19951,694,731,731,1.053314121
19952,593,660,660,1.112984823
19953,565,492,492,0.87079646
19954,591,588,588,0.994923858
19955,536,615,615,1.14738806
19956,650,718,718,1.104615385
19957,787,577,577,0.733163914
19958,862,798,798,0.92575406
19959,1012,842,842,0.83201581
19960,862,900,900,1.044083527
19961,885,946,946,1.068926554
19962,1036,839,839,0.80984556
19963,885,902,902,1.01920904
19964,702,876,876,1.247863248
19965,889,926,926,1.041619798
19966,971,848,848,0.873326468
19967,853,799,799,0.936694021
19968,668,668,668,1
19969,524,410,410,0.782442748
19970,704,804,804,1.142045455
19971,561,736,736,1.311942959
19972,674,573,573,0.850148368
19973,775,686,686,0.88516129
19974,590,695,695,1.177966102
19975,687,789,789,1.148471616
19976,657,734,734,1.117199391
19977,824,661,661,0.802184466
19978,649,559,559,0.861325116
19979,532,633,633,1.189849624
19980,587,830,830,1.413969336
19981,651,789,789,1.211981567
19982,507,707,707,1.394477318
19983,562,635,635,1.129893238
19984,618,741,741,1.199029126
19985,580,642,642,1.106896552
19986,632,785,785,1.242088608
19987,634,531,531,0.837539432
19988,871,452,452,0.518943743
19989,842,439,439,0.521377672
19990,1044,610,610,0.584291188
19991,841,453,453,0.538644471
19992,682,392,392,0.574780059
19993,883,542,542,0.613816535
19994,949,626,626,0.659641728
19995,773,1261,1261,1.631306598
19996,670,1226,1226,1.829850746
19997,639,1063,1063,1.663536776
19998,665,702,702,1.055639098
19999,807,1031,1031,1.277571252
20000,778,930,930,1.195372751
20001,750,1105,1105,1.473333333
20002,743,878,878,1.181695828
20003,615,840,840,1.365853659
20004,594,1028,1028,1.730639731
20005,601,914,914,1.520798669
20006,591,776,776,1.313028765
20007,549,948,948,1.726775956
20008,550,775,775,1.409090909
20009,577,923,923,1.59965338
20010,743,908,908,1.222072678
20011,523,836,836,1.598470363
20012,633,816,816,1.289099526
20013,679,925,925,1.362297496
20014,645,980,980,1.519379845
20015,598,893,893,1.493311037
20016,613,818,818,1.334420881
20017,454,656,656,1.444933921
20018,691,797,797,1.153400868
20019,620,796,796,1.283870968
20020,734,862,862,1.174386921
20021,605,772,772,1.276033058
20022,581,742,742,1.277108434
20023,867,1269,1269,1.46366782
20024,565,782,782,1.384070796
20025,618,761,761,1.231391586
20026,551,669,669,1.21415608
20027,628,602,602,0.958598726
20028,614,498,498,0.811074919
20029,647,462,462,0.714064915
20030,626,549,549,0.876996805
20031,582,753,753,1.293814433
20032,609,579,579,0.950738916
20033,627,930,930,1.483253589
20034,667,665,665,0.997001499
20035,618,721,721,1.166666667
20036,657,459,459,0.698630137
20037,872,915,915,1.049311927
20038,621,788,788,1.268921095
20039,483,589,589,1.219461698
20040,643,923,923,1.435458787
20041,611,948,948,1.551554828
20042,542,711,711,1.311808118
20043,638,373,373,0.584639498
20044,679,736,736,1.083946981
20045,693,356,356,0.513708514
20046,719,567,567,0.788595271
20047,780,511,511,0.655128205
20048,650,545,545,0.838461538
20049,750,562,562,0.749333333
20050,730,514,514,0.704109589
20051,548,747,747,1.363138686
20052,717,531,531,0.740585774
20053,768,411,411,0.53515625
20054,595,791,791,1.329411765
20055,625,876,876,1.4016
20056,629,834,834,1.325914149
20057,599,851,851,1.420701169
20058,571,679,679,1.189141856
20059,663,840,840,1.266968326
20060,637,844,844,1.324960754
20061,564,917,917,1.625886525
20062,562,932,932,1.658362989
20063,592,730,730,1.233108108
20064,568,819,819,1.441901408
20065,740,596,596,0.805405405
20066,643,705,705,1.096423017
20067,727,677,677,0.931224209
20068,747,857,857,1.147255689
20069,514,476,476,0.926070039
20070,807,622,622,0.770755886
20071,563,1027,1027,1.824156306
20072,790,878,878,1.111392405
20073,766,851,851,1.110966057
20074,734,764,764,1.040871935
20075,544,1049,1049,1.928308824
20076,789,888,888,1.125475285
20077,572,815,815,1.424825175
20078,497,882,882,1.774647887
20079,461,732,732,1.587852495
20080,648,749,749,1.155864198
20081,500,746,746,1.492
20082,647,759,759,1.173106646
20083,548,802,802,1.46350365
20084,550,891,891,1.62
20085,685,921,921,1.344525547
20086,606,832,832,1.372937294
20087,724,448,448,0.61878453
20088,846,419,419,0.495271868
20089,870,512,512,0.588505747
20090,731,468,468,0.640218878
20091,616,363,363,0.589285714
20092,677,485,485,0.716395864
20093,805,475,475,0.590062112
20094,862,362,362,0.419953596
20095,664,189,189,0.284638554
20096,861,246,246,0.285714286
20097,625,114,114,0.1824
20098,840,160,160,0.19047619
20099,718,185,185,0.257660167
20100,1111,240,240,0.216021602
20101,628,246,246,0.391719745
20102,686,484,484,0.705539359
20103,775,304,304,0.392258065
20104,807,561,561,0.695167286
20105,797,341,341,0.427854454
20106,729,222,222,0.304526749
20107,816,627,627,0.768382353
20108,667,219,219,0.328335832
20109,717,346,346,0.482566248
20110,451,240,240,0.532150776
20111,926,407,407,0.439524838
20112,675,214,214,0.317037037
20113,584,235,235,0.40239726
20114,967,428,428,0.442605998
20115,774,356,356,0.45994832
20116,632,579,579,0.916139241
20117,913,387,387,0.423877327
20118,710,488,488,0.687323944
20119,704,435,435,0.617897727
20120,839,344,344,0.410011919
20121,800,316,316,0.395
20122,726,466,466,0.641873278
20123,550,525,525,0.954545455
20124,602,429,429,0.712624585
20125,621,522,522,0.84057971
20126,632,385,385,0.609177215
20127,728,505,505,0.693681319
20128,638,304,304,0.476489028
20129,577,670,670,1.16117851
20130,592,741,741,1.251689189
20131,606,424,424,0.699669967
20132,690,366,366,0.530434783
20133,697,393,393,0.56384505
20134,657,283,283,0.430745814
20135,767,255,255,0.332464146
20136,672,185,185,0.275297619
20137,823,464,464,0.563791009
20138,715,537,537,0.751048951
20139,619,522,522,0.843295638
20140,841,458,458,0.544589774
20141,756,625,625,0.826719577
20142,721,596,596,0.826629681
20143,850,351,351,0.412941176
20144,698,767,767,1.098853868
20145,757,315,315,0.416116248
20146,703,239,239,0.33997155
20147,590,222,222,0.376271186
20148,686,372,372,0.542274052
20149,918,356,356,0.387799564
20150,812,266,266,0.327586207
20151,788,462,462,0.586294416
20152,627,286,286,0.456140351
20153,827,408,408,0.493349456
20154,661,587,587,0.888048411
20155,588,461,461,0.784013605
20156,663,380,380,0.573152338
20157,700,301,301,0.43
20158,722,893,893,1.236842105
20159,970,328,328,0.33814433
20160,635,215,215,0.338582677
20161,881,236,236,0.267877412
20162,913,224,224,0.245345016
